predicate,predicate_embedding_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
airports.t1.iso_country == BR,200,0.2875081,0.274799347,0.281219959,0.303645104,0.329101264,0.279142022,0.264121234,0.270081341,0.296727002,0.281738728,0.303156585,0.298846066,0.246054396,0.292303056,0.285641909,0.268001795,0.260296524,0.264987141,0.292378843,0.241650209,0.236469194,0.280935675,0.314094573,0.285926253,0.301211983,0.280239582,0.275781929,0.331745416,0.250694782,0.254642189,0.291119546,0.261193216,0.31279543,0.271074057,0.287195235,0.292880893,0.321700484,0.259130329,0.28322947,0.272263914,0.279855311,0.290450931,0.287043512,0.283816159,0.258208513,0.268545777,0.300877184,0.292843729,0.26902917,0.304171115,0.23390691,0.304066986,0.290658832,0.266326934,0.254984558,0.263456136,0.28674376,0.299763471,0.312321752,0.270085663,0.317624182,0.364055485,0.302778631,0.309957862,0.28643021,0.26062879,0.282998234,0.223637238,0.260800183,0.307180762,0.324035466,0.308462024,0.307789803,0.239636183,0.263990462,0.303398401,0.295025438,0.297288567,0.273645431,0.263223112,0.260991514,0.315271169,0.305716723,0.259070754,0.270542115,0.287599236,0.27274695,0.293842912,0.279144764,0.321022034,0.280773491,0.30053696,0.356320918,0.261338919,0.325257957,0.279735267,0.269618362,0.330470681,0.291259348,0.279709727,0.289989918,0.278602302,0.298978567,0.267022967,0.288309813,0.259060919,0.288885444,0.331106097,0.286241978,0.263187647,0.272471309,0.271233559,0.289630622,0.264186561,0.302967608,0.305822521,0.263864428,0.292818248,0.173683926,0.266079694,0.365398109,0.299628377,0.302827001,0.343309164,0.27478537,0.263419062,0.294430017,0.260483086,0.267524332,0.255634367,0.254882395,0.230907321,0.308587939,0.303803444,0.284964502,0.268467039,0.299721807,0.410648584,0.23795411,0.316103846,0.336932898,0.30139327,0.289097369,0.278203279,0.240347609,0.266676307,0.29965812,0.278135061,0.267305076,0.247875243,0.292122543,0.233738005,0.294364005,0.347542524,0.28203851,0.251504064,0.273514539,0.271723658,0.35567373,0.281476408,0.295139074,0.284994304,0.277470618,0.245293766,0.243398726,0.307451725,0.251984507,0.26854825,0.256183177,0.300383568,0.258466125,0.325682491,0.269768924,0.26089862,0.292893112,0.261497498,0.315436363,0.272168159,0.224949524,0.286297023,0.270315379,0.282634795,0.272503495,0.259366304,0.306842566,0.313711613,0.281232327,0.314114124,0.277357876,0.235172689,0.307843208,0.292930961,0.286468267,0.252957076,0.25889793,0.266490638,0.290419102,0.294938058,0.286677688,0.291293174
airports.t0.iso_region == BR-SP,200,0.310544014,0.264233828,0.223178908,0.268078685,0.293985546,0.237188891,0.310647786,0.305248797,0.263283074,0.262811601,0.337392509,0.275254279,0.293772787,0.313973993,0.22247313,0.330477089,0.22373049,0.268958658,0.216746658,0.179368094,0.257917523,0.282441735,0.320530713,0.332020372,0.322589457,0.227869213,0.273659885,0.24373433,0.279215425,0.219396904,0.218803018,0.254168183,0.323930085,0.299137115,0.319074571,0.261565745,0.379837185,0.309028536,0.148991689,0.308103502,0.295011073,0.345490217,0.312164366,0.262285382,0.238223344,0.262506098,0.326162189,0.210916981,0.174228072,0.160743088,0.196894437,0.274803638,0.257638603,0.299935669,0.22271654,0.184853166,0.319985598,0.180676609,0.361910254,0.262485296,0.265349805,0.364246637,0.298300058,0.306035638,0.32071957,0.182972804,0.269417852,0.267400175,0.224092096,0.381234497,0.339191437,0.229270786,0.254936844,0.266552031,0.27569434,0.306266934,0.299760193,0.381016612,0.209434092,0.159042761,0.132986665,0.098914526,0.232106224,0.250205874,0.257199615,0.329999655,0.291676283,0.307355821,0.239250422,0.310952127,0.294224977,0.364697933,0.382591307,0.222806498,0.331740856,0.33506462,0.231234714,0.384413511,0.234512582,0.335914046,0.282299459,0.153903365,0.303647339,0.274910063,0.278847754,0.251250327,0.250965416,0.344398558,0.262889653,0.209906429,0.266755104,0.276517242,0.300728738,0.260035366,0.393649161,0.309280604,0.286543757,0.240062401,0.21545586,0.264488101,0.304676116,0.216373861,0.242229372,0.330297887,0.274161071,0.212538198,0.231960386,0.230563357,0.357260078,0.224911854,0.27696237,0.2133881,0.191247195,0.298232734,0.311024457,0.2940045,0.310885489,0.329303473,0.207981706,0.307053536,0.13290444,0.311472893,0.13888666,0.28205809,0.295884371,0.290717155,0.293462127,0.319851995,0.257373005,0.256872922,0.20640707,0.095953383,0.311422765,0.318169564,0.276303142,0.251852959,0.297141641,0.302120626,0.293890625,0.29733339,0.343987435,0.318683594,0.305853993,0.205833688,0.216797963,0.360060334,0.185780436,0.254230589,0.237805873,0.23508428,0.285082877,0.287400961,0.329958528,0.369673491,0.366084337,0.210284457,0.297060907,0.304203212,0.225277439,0.231801003,0.273085594,0.273986399,0.295776308,0.255979717,0.235960692,0.310082257,0.260391235,0.319451243,0.1409273,0.241315812,0.293946922,0.258604974,0.240785778,0.235451207,0.222201765,0.175107539,0.285472482,0.237630635,0.287109733,0.255282044
airports.t0.iso_region == US-CA,200,0.31387797,0.264773965,0.274451464,0.278144002,0.300930709,0.259688854,0.234595969,0.299133509,0.268071383,0.23614198,0.307936549,0.32412979,0.254072785,0.276889145,0.28137058,0.304605126,0.290360689,0.262734592,0.289126903,0.27081278,0.273993671,0.301606506,0.31743452,0.277908176,0.298425138,0.301134497,0.271302909,0.274423003,0.272248149,0.29509005,0.292861968,0.244333223,0.297314137,0.255821258,0.257733613,0.318579167,0.368402302,0.247167498,0.31051448,0.276054144,0.260821313,0.277694911,0.247548595,0.261942804,0.279123783,0.288589418,0.269746125,0.305619538,0.289853543,0.35532257,0.231638312,0.262976229,0.287370384,0.257977158,0.275024533,0.264720649,0.306953788,0.290062129,0.286075771,0.267152816,0.307309687,0.285886049,0.287256628,0.295915335,0.280044883,0.247231364,0.273747265,0.237921193,0.266916156,0.343897492,0.330238551,0.333973825,0.320119679,0.2487811,0.212611988,0.258182317,0.232704476,0.353244454,0.282529056,0.27091065,0.279093087,0.3419846,0.259450346,0.263740599,0.295000464,0.284400791,0.249030024,0.281256497,0.282175332,0.305337489,0.297045022,0.268206269,0.279155344,0.252051055,0.267590165,0.272371948,0.273178458,0.257950544,0.290525407,0.307513684,0.327892065,0.222669557,0.28543967,0.294826567,0.301719487,0.248131752,0.26575461,0.363670975,0.278526276,0.259288609,0.297897369,0.235538438,0.274828434,0.242832035,0.318316132,0.281830132,0.249743789,0.315312266,0.221282199,0.251395196,0.299304873,0.252585173,0.286048084,0.326826185,0.292992532,0.252883196,0.33782649,0.275364906,0.284915358,0.279162973,0.289779663,0.270287573,0.264815748,0.282769918,0.296613902,0.277694732,0.280160487,0.274593532,0.265541643,0.290771216,0.339185476,0.254563153,0.354587793,0.27867043,0.25649336,0.255500972,0.272131979,0.295369536,0.275378168,0.266045243,0.287267864,0.345458299,0.31221664,0.303845078,0.279300749,0.270820081,0.298131168,0.244526818,0.267240822,0.313884556,0.316802651,0.280926526,0.269048691,0.24800089,0.255203754,0.304129332,0.26792416,0.267837375,0.26993826,0.327882081,0.285281718,0.244379178,0.290320933,0.253708065,0.333132178,0.307481617,0.345561653,0.257632524,0.224954605,0.267921418,0.275530159,0.269607335,0.285544634,0.268628329,0.298928499,0.29877457,0.295827329,0.301045626,0.237988576,0.265810072,0.264002085,0.284078717,0.277804464,0.298620194,0.205080584,0.450311363,0.292578071,0.274018496,0.285133421,0.325912952
airports.t0.iso_country == DE,200,0.273986846,0.166935205,0.299119085,0.346195668,0.293603629,0.250914544,0.254943907,0.259904444,0.270490766,0.240412354,0.414236158,0.332405865,0.297425777,0.294200718,0.283545852,0.264296353,0.260546923,0.234453842,0.330091506,0.282585174,0.295589447,0.268025517,0.299768209,0.282209694,0.323293209,0.243387222,0.321104676,0.387989163,0.296219796,0.309598237,0.287185401,0.30620873,0.289671242,0.295692652,0.324483782,0.291077048,0.494656324,0.315366447,0.280979216,0.251664817,0.288250685,0.27377665,0.319579631,0.245533377,0.238782942,0.257126242,0.267559052,0.258053362,0.310736775,0.258565009,0.306673706,0.252139598,0.139250576,0.338497132,0.258866638,0.265460223,0.270025492,0.299538881,0.347209245,0.230253622,0.320792526,0.300844014,0.353622735,0.30594328,0.302446485,0.295742482,0.285734266,0.244981557,0.272131979,0.240596756,0.284011543,0.347153306,0.276061207,0.346900523,0.236422941,0.255789101,0.309200853,0.332033485,0.29155156,0.301956356,0.275023013,0.383245677,0.27400735,0.278399557,0.377671778,0.329141736,0.246491045,0.311711043,0.249385968,0.317990601,0.324558228,0.344235986,0.253228724,0.306016147,0.246518061,0.350499064,0.305713892,0.301911712,0.277281106,0.219527692,0.355596274,0.250842839,0.282081425,0.228560865,0.276296824,0.317448676,0.266555846,0.286314189,0.301299274,0.24437508,0.335891277,0.276162982,0.244153604,0.276630938,0.344289511,0.264742821,0.242623642,0.243094131,0.276506096,0.214845926,0.291951388,0.291035324,0.304120719,0.29693228,0.267107308,0.358815163,0.275669992,0.263219625,0.140585527,0.295437098,0.274159789,0.364807963,0.3421821,0.328967601,0.251830935,0.273182422,0.278160721,0.286115766,0.276113719,0.254782587,0.249637589,0.301188618,0.278032869,0.321493417,0.338769019,0.26123634,0.265936881,0.257658809,0.286080629,0.259827971,0.349015325,0.406020403,0.293389052,0.366210759,0.225915089,0.253563553,0.320646554,0.239123836,0.402765304,0.232781723,0.28412348,0.271558821,0.274787486,0.281305343,0.328202516,0.341763109,0.266399145,0.150012225,0.275518775,0.270020783,0.285457432,0.235303819,0.301463455,0.28992027,0.274332911,0.270334929,0.333486497,0.276349902,0.339461178,0.302403897,0.309335351,0.336782038,0.219360262,0.24343729,0.269584656,0.31108427,0.279813647,0.308692276,0.171790764,0.269280821,0.277526528,0.337883621,0.294317484,0.310739368,0.291386873,0.319184929,0.316072494,0.293128967,0.285970896,0.299335152
airports.t0.iso_region == US-MO,200,0.267504752,0.297738045,0.382712811,0.29382509,0.280287713,0.249794662,0.217263609,0.25442782,0.285775781,0.266298652,0.307247967,0.344142765,0.258450508,0.290876806,0.26831463,0.349850029,0.228569493,0.226158246,0.285257846,0.347378373,0.236245617,0.242658973,0.293739408,0.291728318,0.343348145,0.270209938,0.292969465,0.3669855,0.263902605,0.268897742,0.399605155,0.306379139,0.276979446,0.246796951,0.280572891,0.270152628,0.360125333,0.270665705,0.240502581,0.275214195,0.274346143,0.276176095,0.259666711,0.238451451,0.253528953,0.261417717,0.24863337,0.235202312,0.275609732,0.3360098,0.245737389,0.233127221,0.268544108,0.23607181,0.246160284,0.24862884,0.205169186,0.276669621,0.254646212,0.22924377,0.266320109,0.288702607,0.311718076,0.268986344,0.321106613,0.254004478,0.307111651,0.26222986,0.269181073,0.259049028,0.334923863,0.332140446,0.27186814,0.308207631,0.248394534,0.312382042,0.235472113,0.331208289,0.303935885,0.23410292,0.299154967,0.292351246,0.261039495,0.259598792,0.202299953,0.316899896,0.249097958,0.305202276,0.306778729,0.230191246,0.253513157,0.3470667,0.290861011,0.242803618,0.275181323,0.25031507,0.257387042,0.304937661,0.281106025,0.285564721,0.301706344,0.288185328,0.274672687,0.33065021,0.294004381,0.264626652,0.343619674,0.417417139,0.260920465,0.187973216,0.25987801,0.263992667,0.251942933,0.265595645,0.284291714,0.278120041,0.257466376,0.238633007,0.224299386,0.243264779,0.232705221,0.254116684,0.272179335,0.281010926,0.207576022,0.298841804,0.239642933,0.286490291,0.392508656,0.247346699,0.250548631,0.29351297,0.269120574,0.286040783,0.239492044,0.315918624,0.294412971,0.287444085,0.320046365,0.314053208,0.256066978,0.258108199,0.234204382,0.296205759,0.30872637,0.253296822,0.250981033,0.267036527,0.249227524,0.267824382,0.409677058,0.39998576,0.244891718,0.292563617,0.241369933,0.261677563,0.282085538,0.232497334,0.282387912,0.31665349,0.340187401,0.282494009,0.374300361,0.272443891,0.295654446,0.353318363,0.318686485,0.296261758,0.172796249,0.262396991,0.289259672,0.260803699,0.277399689,0.39488554,0.287938565,0.291545391,0.299319893,0.236547351,0.285867572,0.281869441,0.223161519,0.333349347,0.276952296,0.228573039,0.225485727,0.243537441,0.263033152,0.299489588,0.331957042,0.287073463,0.291577965,0.28689605,0.294084877,0.217019081,0.25194338,0.433929533,0.267408878,0.322878867,0.240157381,0.303126246
airports.t0.iso_region == US-IL,200,0.318325162,0.273542911,0.31241861,0.291238695,0.314589858,0.313177586,0.207982078,0.285204917,0.289374053,0.246274248,0.321141005,0.303002894,0.243063688,0.274658442,0.294293612,0.299455196,0.284673989,0.27491799,0.191722304,0.231120348,0.312532663,0.258549511,0.337271094,0.3152951,0.298443496,0.297214925,0.282349467,0.29308787,0.301039726,0.216202259,0.351459324,0.28041172,0.301872134,0.265598029,0.317456394,0.280646771,0.281050116,0.279240876,0.285550088,0.269280702,0.29655841,0.279893577,0.350190073,0.230662286,0.245758429,0.271341234,0.293358892,0.257820696,0.265529245,0.30284512,0.269809723,0.31018737,0.356870681,0.317105681,0.249764398,0.240032792,0.307425618,0.282138795,0.305894256,0.271393865,0.284334481,0.316849679,0.298436195,0.226590231,0.26617372,0.269890636,0.298776627,0.214323685,0.261268884,0.442465305,0.391000241,0.343378901,0.307414234,0.176222444,0.267396867,0.238315374,0.276899338,0.278558761,0.273198992,0.319863439,0.255816966,0.299560219,0.263102382,0.308051139,0.285623819,0.314877748,0.271531224,0.317276329,0.270382255,0.223416105,0.257379413,0.323829621,0.295945078,0.296002924,0.294552326,0.283293217,0.271270275,0.314720273,0.293436587,0.279527217,0.297982395,0.41310212,0.326648563,0.2488098,0.245928928,0.258856148,0.283060849,0.393087119,0.339616954,0.261021137,0.307003468,0.274166971,0.282637,0.312770456,0.310073137,0.269550562,0.276228487,0.285092354,0.205706552,0.212305993,0.327974498,0.2562325,0.279239267,0.312971354,0.26645422,0.287165612,0.305767566,0.258766085,0.259380668,0.262954354,0.327260584,0.297580689,0.276569605,0.260608345,0.263094544,0.258608311,0.278452218,0.250183195,0.21960482,0.293614537,0.271006316,0.340666324,0.3483316,0.296093762,0.338204741,0.247455657,0.28297323,0.282659352,0.268574417,0.245248333,0.292711049,0.31294927,0.239480928,0.31015569,0.289312929,0.234684467,0.272578329,0.257968128,0.310483992,0.287727714,0.29621309,0.303443879,0.235651135,0.189409509,0.259511352,0.286534876,0.361739367,0.274003834,0.250260949,0.306256771,0.259836167,0.249465346,0.278725594,0.336590022,0.346694082,0.287205786,0.346672982,0.272672921,0.332050115,0.247623652,0.273345798,0.296110362,0.305683523,0.29951188,0.251894355,0.225463867,0.27645278,0.261207551,0.255056232,0.247698262,0.334590197,0.288040042,0.283045411,0.242080361,0.25677219,0.352841198,0.28641203,0.323740989,0.288046569,0.287700206
airports.t1.continent == NA_,200,0.295465529,0.289560676,0.296938628,0.300997108,0.307793021,0.273318857,0.253992558,0.286818117,0.281590372,0.288173914,0.334516108,0.298168659,0.251296014,0.295090944,0.302092642,0.314531535,0.266394854,0.264889747,0.276104391,0.280226916,0.269035786,0.272687644,0.325647026,0.309289992,0.312650681,0.279393911,0.268391937,0.298961759,0.26206395,0.27375263,0.295368612,0.279821187,0.301714063,0.268695623,0.263070285,0.320539296,0.328025788,0.275730103,0.283090264,0.299721032,0.27885136,0.29424572,0.295753717,0.264376283,0.258674145,0.276323408,0.280725926,0.288977623,0.263516217,0.309608877,0.242131248,0.285119146,0.283873409,0.257459253,0.265382916,0.279188722,0.282241791,0.299717069,0.296778858,0.29716289,0.315623194,0.328408837,0.305261463,0.29080081,0.27815029,0.268046975,0.298295856,0.235445529,0.275989592,0.310952753,0.304591089,0.316093415,0.311716735,0.235004559,0.268801987,0.282902539,0.253694504,0.287921518,0.29050836,0.281225741,0.282236397,0.30550468,0.281712085,0.262060076,0.296417624,0.290434539,0.270698369,0.279815823,0.297873855,0.310385674,0.293795437,0.302266479,0.294740766,0.266206831,0.298282772,0.285562873,0.275202662,0.289743185,0.293711692,0.279136389,0.292100817,0.303223848,0.301807404,0.269060045,0.27137056,0.254599899,0.288854331,0.345817357,0.289555997,0.254000574,0.279729337,0.266668707,0.289745331,0.271213472,0.29197821,0.294659406,0.270874709,0.325367153,0.209778637,0.279575914,0.311756521,0.256205887,0.301794231,0.322554171,0.268336594,0.257863998,0.298544228,0.245147064,0.299457371,0.285934985,0.294121921,0.289903641,0.283061206,0.277478337,0.289188683,0.275844783,0.27457878,0.305084646,0.248581126,0.313246936,0.336102039,0.315957874,0.332354426,0.292237401,0.276946634,0.256310463,0.292213559,0.283003956,0.280657738,0.252494395,0.307769001,0.347887009,0.307258368,0.308677644,0.283566862,0.278235525,0.294230849,0.267315209,0.298634797,0.294562727,0.295421481,0.294475675,0.271354079,0.250509381,0.260143489,0.313066423,0.301060736,0.255173326,0.256753236,0.327153593,0.273149461,0.249146461,0.309785932,0.293720216,0.29222241,0.290447891,0.349153519,0.273582965,0.272251457,0.277080536,0.279241741,0.274861485,0.261926919,0.266537935,0.280598193,0.27842775,0.287926376,0.284172863,0.296286136,0.250879109,0.313502967,0.301508367,0.286966056,0.282790303,0.241318136,0.3945629,0.314073354,0.295835495,0.27791965,0.302211285
airports.t0.iso_region == GB-ENG,200,0.264169842,0.261555552,0.292480886,0.290424019,0.306094259,0.278551966,0.250795931,0.274737179,0.327563107,0.263116747,0.195233405,0.285653591,0.263928145,0.291450202,0.315605432,0.280538559,0.292735994,0.267771214,0.301708758,0.250037134,0.308620155,0.321759671,0.278020948,0.282757252,0.317729503,0.245529667,0.289027303,0.35822612,0.279830515,0.265828252,0.28462404,0.276364177,0.279580086,0.274844289,0.277276486,0.303149581,0.342474848,0.288202375,0.269673288,0.269317359,0.290844142,0.3069323,0.288449019,0.217807144,0.272440314,0.25590983,0.297251433,0.298349231,0.287941486,0.271863878,0.266903073,0.288280129,0.293962866,0.287660539,0.247941896,0.244485155,0.258814484,0.258388132,0.332535446,0.279789388,0.291194916,0.33971715,0.4126831,0.335692495,0.281015098,0.264877349,0.284665704,0.264631808,0.267452508,0.279985666,0.276293129,0.332505971,0.297010064,0.254047304,0.242021486,0.292974114,0.324601233,0.287585109,0.302219063,0.274189204,0.277813941,0.299230516,0.263758421,0.233471334,0.298421592,0.317289233,0.237610981,0.275964767,0.271831751,0.325140148,0.302509069,0.320426434,0.301973045,0.294059128,0.270747453,0.294931799,0.269653141,0.341975659,0.266065389,0.253676027,0.276587278,0.304743111,0.265730709,0.268865258,0.354897439,0.294842005,0.28857699,0.269988,0.285737395,0.252913803,0.249435544,0.280689925,0.305139393,0.292497605,0.314358085,0.324395508,0.242778465,0.273711532,0.248331696,0.23126018,0.26884672,0.273209006,0.271251053,0.27910924,0.281939775,0.248202041,0.276003748,0.27743867,0.336081266,0.274896115,0.276623189,0.28746289,0.281224042,0.290081888,0.315599382,0.294457138,0.280517876,0.378274143,0.252448082,0.301516265,0.323888987,0.310775429,0.282304615,0.287549585,0.260568053,0.270386338,0.260801405,0.249517024,0.275488168,0.335981578,0.273284674,0.26945743,0.286857367,0.285566032,0.272954315,0.265154302,0.278756946,0.260122716,0.337421805,0.256952107,0.314642042,0.296864986,0.301190406,0.236308202,0.24895665,0.278887987,0.297093928,0.265498877,0.280619234,0.356621653,0.305062562,0.263876945,0.302255481,0.260812432,0.311439604,0.282264769,0.284471959,0.264924586,0.255243927,0.256562293,0.299742907,0.218011364,0.290726602,0.284737051,0.275282353,0.281416535,0.313758761,0.317994505,0.195915058,0.232319981,0.261392146,0.299835563,0.279395431,0.245249078,0.291516244,0.316990584,0.320035726,0.261612266,0.2892735,0.299586833
airports.t0.continent == airports.t1.continent,200,0.675252318,0.933889449,0.768799365,0.848411322,0.939002991,0.775479019,0.808025181,0.519944727,0.753998518,0.961244822,0.87655735,0.875471354,0.428601831,0.6173473,0.877388239,1.022440434,0.49686715,0.806533158,0.869894028,0.824165642,0.831045985,0.745152354,0.870258629,0.692784727,0.691842794,0.403625488,0.510546386,0.481950551,0.855603218,0.810893714,0.76417321,0.793545842,0.992636502,0.783212364,0.866712809,0.725714445,0.607232511,0.469446242,0.886982024,0.619329095,0.845076203,0.594967425,0.453946501,0.758773983,0.851046205,0.675168514,0.837259948,0.596570432,0.857340276,0.975920677,0.864037514,0.546543837,0.839213133,0.861863434,0.763358772,0.745466888,0.849703252,0.744389415,0.720737398,0.927348912,0.881521761,0.881639481,0.956991792,0.818487167,0.997834325,0.836748421,0.767147183,0.765301049,0.676778376,0.833440185,0.782111943,0.86969018,0.482821256,0.812729836,0.854945719,0.739066482,0.773959398,0.996789515,0.593604088,0.856763005,0.770664752,0.77728802,0.541919529,0.845434964,0.902068198,0.823166847,0.853605807,1.040251255,0.807005763,0.962384641,0.829364657,0.901403069,0.238515258,0.835022986,0.811457634,0.351515591,0.870407343,0.848783612,0.454164833,0.421495914,0.80033201,0.758633614,0.776338696,0.790664196,0.798206091,0.859277964,0.225315496,0.824240863,0.832438409,0.7807827,0.781407118,0.802044809,0.8708992,0.837819755,0.848248482,0.751768053,0.709135532,0.838562667,0.860508263,0.711809397,0.535869896,0.778285801,0.241522223,0.87594986,0.775149047,0.870282888,0.91546452,0.894945145,0.871333003,0.848724961,0.729221642,0.751601577,1.014625072,0.828959703,1.007918954,0.841042459,0.667084098,0.799089074,0.787556112,0.819461644,0.756813407,0.76558882,0.789813876,0.859043717,0.831774056,0.83030802,0.924651146,0.400993645,0.390593708,0.845928729,0.97109288,0.400123894,0.962715447,0.432053596,0.753363609,0.775660276,0.724954784,0.518967092,0.894488931,0.734962642,0.34909752,0.811283767,0.837330401,0.86673969,0.841253102,0.685644388,0.816487372,0.754205346,0.800725996,1.022481322,0.52694118,0.787710488,0.787830949,0.838933468,1.022196889,0.757269621,0.884922385,0.760786831,0.816533446,0.717825294,0.827267945,0.698754013,0.837631822,0.85651195,0.957666636,0.759441555,0.966143191,0.50777775,0.871724486,0.835097849,0.56308043,0.915518045,1.022140503,0.786314726,0.871075988,0.665240943,0.921957791,0.750650406,1.001620889,0.851335227
airports.t1.iso_country == US,200,0.295578718,0.28177911,0.300549179,0.301393539,0.308029473,0.275341392,0.252561539,0.28649959,0.284117311,0.281571835,0.328649312,0.29828766,0.25622803,0.286212087,0.304911971,0.306773096,0.264243633,0.265816957,0.266964644,0.277913511,0.271245658,0.277475536,0.313669026,0.307782292,0.308368802,0.275464952,0.277278781,0.304212242,0.255663633,0.273840278,0.29852581,0.271281153,0.295725733,0.272009164,0.261713326,0.316057205,0.32305795,0.277850837,0.284893841,0.296356231,0.278811425,0.291868359,0.299746603,0.262872905,0.256372154,0.274530619,0.271761775,0.283572853,0.265024006,0.315400332,0.234012291,0.282564729,0.284694761,0.25439781,0.261832982,0.280865729,0.28879115,0.29729259,0.291947752,0.2982921,0.317421317,0.322750986,0.306310713,0.293922544,0.279760659,0.267769486,0.295736283,0.234101757,0.276786387,0.303467661,0.306604177,0.31736362,0.30793649,0.238873765,0.26805523,0.280537874,0.247105986,0.289223939,0.295394093,0.280009508,0.281564325,0.317180514,0.274570495,0.261920691,0.301934361,0.288011909,0.266275942,0.277304024,0.29189086,0.311081678,0.292668432,0.301599026,0.293876976,0.267560005,0.296834528,0.28665334,0.268907458,0.294806302,0.296535015,0.274378777,0.28962934,0.301724195,0.297950983,0.263958544,0.272713989,0.255246907,0.287186205,0.35325101,0.283800125,0.260772586,0.280470431,0.267765552,0.29166624,0.276126713,0.293314666,0.297438025,0.263792366,0.313526452,0.206635982,0.267342091,0.304260999,0.256323248,0.302306861,0.324925274,0.268193811,0.255307227,0.292546183,0.249285311,0.30451414,0.280774921,0.294616163,0.286089629,0.293108165,0.272225618,0.291760355,0.276028484,0.273890257,0.305090368,0.248689026,0.307541788,0.339608967,0.311615527,0.327995598,0.287544161,0.280182362,0.260021091,0.289497077,0.280223995,0.2800439,0.255426109,0.303531766,0.352884203,0.30664736,0.308512866,0.28612262,0.281955123,0.28917399,0.273772091,0.29483813,0.295098633,0.299389571,0.294231743,0.270720929,0.253336936,0.255850703,0.310540408,0.300656825,0.253923446,0.24949418,0.32652989,0.273830593,0.249953434,0.308220744,0.297027767,0.296165466,0.292756557,0.346799523,0.27440834,0.272961527,0.282047808,0.285164326,0.269959152,0.256943762,0.267501026,0.290275455,0.269003212,0.282562822,0.289431036,0.297914833,0.248154983,0.31578216,0.302066833,0.283179015,0.271113724,0.236598507,0.385318339,0.308701426,0.296848178,0.279360801,0.300318003
